POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
255,1149.77,3094.92,4174.55,-3189.83,-25968.35,1369.6,13813.99,-3036.26,84.06,0.0,-5555.35,-2952.2,-8507.56
260,1149.8,3063.45,4193.6,-3213.23,-25923.18,1388.03,13861.58,-3105.33,85.25,0.0,-5479.95,-3020.08,-8500.03
265,1178.99,3152.31,4192.89,-3202.6,-25781.93,1361.5,13756.13,-3160.73,84.96,0.0,-5342.7,-3075.77,-8418.47
270,1134.76,3123.64,4165.48,-3235.55,-25853.65,1355.64,13804.21,-3078.62,83.96,0.0,-5505.46,-2994.66,-8500.12
275,1144.81,3076.61,4181.26,-3217.34,-25840.48,1363.1,13749.29,-3074.0,85.5,0.0,-5542.75,-2988.5,-8531.25
280,1179.22,3113.54,4130.39,-3169.49,-26017.25,1380.89,13748.34,-2985.09,85.86,0.0,-5634.36,-2899.23,-8533.59
285,1168.12,3077.34,4212.97,-3187.52,-25968.02,1384.58,13875.86,-3107.04,85.75,0.0,-5436.67,-3021.3,-8457.96
290,1227.66,3024.34,4170.04,-3218.29,-25764.04,1370.9,13764.62,-3134.7,84.46,0.0,-5424.77,-3050.25,-8475.02
295,1137.68,3098.26,4194.89,-3245.14,-25736.8,1374.52,13782.02,-3135.53,84.91,0.0,-5394.57,-3050.62,-8445.19
300,1168.89,3094.34,4200.05,-3168.61,-25722.47,1378.25,13724.7,-3215.43,87.03,0.0,-5324.85,-3128.4,-8453.25

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
100,1133.53,2937.21,4106.77,-3127.94,-25792.12,1364.08,13629.17,-3106.04,87.62,0.0,-5749.3,-3018.42,-8767.73
105,1132.18,2948.31,4180.16,-3126.78,-25625.81,1383.27,13595.89,-3187.64,86.97,0.0,-5512.78,-3100.66,-8613.44
110,1116.05,2852.51,4188.6,-3161.3,-25879.88,1379.6,13735.52,-3076.67,87.29,0.0,-5768.9,-2989.38,-8758.28
115,1203.04,2869.37,4173.56,-3120.47,-25823.81,1366.53,13633.69,-3089.36,88.26,0.0,-5698.09,-3001.09,-8699.18
120,1135.56,2918.22,4155.44,-3119.89,-25893.55,1358.87,13697.32,-3078.79,87.85,0.0,-5748.03,-2990.94,-8738.97
125,1237.87,2865.37,4132.82,-3083.88,-25800.51,1351.83,13670.43,-3134.21,87.14,0.0,-5626.06,-3047.07,-8673.13
130,1114.82,2879.62,4118.06,-3086.83,-25775.28,1402.23,13665.11,-3137.48,88.63,0.0,-5682.27,-3048.84,-8731.11
