GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
280,911.36,2394.02,2972.08,-2292.77,-20431.97,1110.56,11313.25,-2473.23,94.2,-4023.46,-2379.03,-6402.5
281,842.64,2388.31,2906.17,-2308.46,-20511.4,1086.97,11314.41,-2396.55,92.48,-4281.36,-2304.07,-6585.42
282,868.81,2388.55,2926.57,-2286.71,-20447.49,1096.23,11284.06,-2442.39,90.45,-4169.99,-2351.94,-6521.94
283,885.3,2418.88,2970.08,-2324.57,-20394.52,1078.88,11246.62,-2476.68,91.0,-4119.33,-2385.69,-6505.02
284,902.39,2365.98,2960.33,-2275.19,-20555.47,1097.28,11351.67,-2371.98,89.63,-4153.01,-2282.36,-6435.36
285,928.58,2400.23,2886.64,-2299.46,-20371.4,1073.3,11207.55,-2428.44,93.45,-4174.56,-2334.99,-6509.55
286,877.28,2420.79,2922.05,-2321.29,-20356.37,1109.28,11215.51,-2469.09,94.4,-4132.74,-2374.68,-6507.43
287,894.28,2405.88,2953.63,-2261.88,-20552.47,1097.61,11304.91,-2370.64,93.84,-4158.05,-2276.8,-6434.85
288,867.08,2382.6,2911.14,-2287.79,-20477.97,1105.44,11262.28,-2404.63,92.42,-4237.23,-2312.21,-6549.43
289,880.65,2400.32,2934.45,-2302.89,-20416.25,1064.26,11256.38,-2438.08,94.16,-4183.07,-2343.93,-6527.0
290,887.94,2452.91,2916.62,-2291.38,-20321.75,1082.11,11275.71,-2522.31,92.94,-3997.85,-2429.37,-6427.22
291,916.97,2395.63,2909.38,-2317.01,-20432.94,1088.57,11247.47,-2396.52,91.77,-4191.93,-2304.75,-6496.68
292,905.26,2398.76,2955.74,-2302.17,-20282.22,1082.55,11244.07,-2528.42,93.28,-3998.0,-2435.13,-6433.14
293,888.33,2376.41,2917.62,-2270.79,-20456.06,1078.37,11266.31,-2418.72,91.04,-4199.82,-2327.68,-6527.5
294,895.82,2387.28,2962.15,-2269.52,-20587.03,1073.66,11316.81,-2362.13,95.54,-4220.82,-2266.59,-6487.41
295,899.23,2356.3,2945.17,-2301.46,-20474.51,1116.1,11291.48,-2445.06,92.86,-4167.69,-2352.2,-6519.89
296,898.5,2381.39,2958.1,-2295.51,-20466.04,1101.8,11322.18,-2467.25,95.85,-4099.58,-2371.4,-6470.98
297,857.27,2345.74,2936.09,-2274.81,-20503.41,1111.89,11374.46,-2499.38,95.49,-4152.78,-2403.88,-6556.66
298,876.9,2405.06,2980.12,-2262.73,-20418.31,1077.26,11313.84,-2517.05,93.18,-4027.88,-2423.87,-6451.75
299,859.27,2448.93,2930.91,-2276.69,-20434.13,1084.67,11351.39,-2524.25,93.49,-4035.66,-2430.76,-6466.42
300,853.79,2381.89,2944.44,-2286.32,-20482.98,1094.5,11333.21,-2511.97,92.84,-4161.47,-2419.14,-6580.6
301,894.74,2379.85,2940.05,-2285.45,-20494.12,1095.07,11360.76,-2478.74,92.79,-4109.09,-2385.95,-6495.04
302,905.4,2452.69,2917.68,-2309.39,-20416.12,1056.46,11267.81,-2454.56,90.9,-4125.47,-2363.66,-6489.12
303,844.64,2426.73,2913.49,-2286.82,-20406.68,1113.09,11314.22,-2494.13,91.19,-4081.33,-2402.94,-6484.27
304,833.19,2398.04,2921.89,-2294.42,-20406.74,1093.21,11294.83,-2494.97,91.89,-4160.0,-2403.07,-6563.08
305,878.19,2406.26,2912.18,-2284.24,-20411.64,1076.98,11233.76,-2407.37,89.34,-4188.52,-2318.02,-6506.54
306,888.5,2371.84,2939.95,-2341.67,-20373.4,1079.34,11220.27,-2429.1,91.73,-4215.17,-2337.37,-6552.54
307,893.56,2427.22,2925.97,-2312.97,-20328.5,1062.08,11171.99,-2412.57,91.11,-4160.64,-2321.46,-6482.1
308,957.93,2409.38,2927.51,-2275.33,-20371.53,1074.65,11209.04,-2435.9,93.7,-4068.34,-2342.21,-6410.55
309,891.94,2339.37,2919.02,-2323.24,-20355.9,1083.63,11236.79,-2449.87,92.67,-4208.39,-2357.2,-6565.58
310,859.64,2412.7,2957.33,-2321.25,-20482.1,1095.61,11272.64,-2419.16,91.61,-4205.43,-2327.55,-6532.98
311,895.25,2424.15,2961.75,-2276.27,-20376.45,1097.27,11255.58,-2473.98,94.15,-4018.72,-2379.83,-6398.55
312,925.58,2384.87,2929.0,-2282.62,-20481.49,1097.91,11292.35,-2426.7,93.75,-4134.4,-2332.95,-6467.35
313,907.93,2403.55,2924.06,-2281.66,-20550.85,1083.07,11306.72,-2384.74,93.17,-4207.18,-2291.57,-6498.75
314,904.18,2393.63,2959.1,-2287.96,-20344.65,1107.89,11264.93,-2526.3,95.24,-4002.88,-2431.06,-6433.94
315,902.86,2379.18,2912.29,-2288.31,-20432.55,1090.33,11267.35,-2444.6,92.88,-4168.84,-2351.72,-6520.56
316,902.42,2392.82,2960.91,-2310.56,-20319.51,1074.08,11250.48,-2507.23,92.4,-4049.36,-2414.83,-6464.19
317,857.35,2365.17,2930.68,-2277.9,-20369.52,1128.53,11318.55,-2528.88,94.72,-4047.14,-2434.16,-6481.3
318,842.03,2368.53,2897.25,-2306.99,-20395.85,1098.47,11208.17,-2406.13,93.24,-4288.39,-2312.89,-6601.28
319,875.19,2468.49,2922.99,-2331.56,-20422.86,1066.62,11246.1,-2407.48,90.81,-4175.03,-2316.66,-6491.69
320,873.2,2410.48,2974.83,-2311.64,-20475.84,1083.9,11291.64,-2412.38,91.86,-4153.44,-2320.52,-6473.96
321,867.43,2399.25,2950.67,-2323.34,-20493.54,1074.7,11291.91,-2378.36,92.43,-4232.92,-2285.93,-6518.85
322,869.44,2381.83,2887.12,-2316.25,-20444.61,1108.5,11351.4,-2449.7,93.51,-4162.57,-2356.18,-6518.75
323,898.17,2370.39,2911.73,-2329.11,-20464.47,1090.89,11294.27,-2403.55,92.4,-4228.13,-2311.15,-6539.28
324,896.68,2381.88,2915.49,-2304.57,-20502.6,1105.36,11240.26,-2334.23,91.21,-4267.51,-2243.02,-6510.52
325,851.75,2409.64,2933.07,-2289.21,-20480.37,1094.52,11242.75,-2353.2,92.57,-4237.85,-2260.63,-6498.48
326,863.15,2418.75,2919.79,-2270.65,-20528.24,1096.25,11273.63,-2371.75,90.89,-4227.31,-2280.85,-6508.17
327,881.24,2335.43,2919.73,-2280.68,-20363.48,1121.89,11276.21,-2476.17,93.16,-4109.65,-2383.0,-6492.66
328,852.19,2396.02,2937.96,-2298.05,-20489.46,1095.15,11282.55,-2361.9,92.06,-4223.63,-2269.84,-6493.47
329,866.49,2378.51,2931.3,-2288.26,-20615.06,1075.51,11327.4,-2313.76,92.55,-4324.1,-2221.21,-6545.31
330,917.94,2349.31,2916.33,-2275.51,-20618.05,1097.87,11301.65,-2357.33,92.98,-4310.44,-2264.35,-6574.79
331,876.19,2417.96,2938.96,-2295.74,-20570.3,1070.13,11341.16,-2319.98,90.97,-4221.65,-2229.01,-6450.66
332,881.21,2403.79,2937.98,-2285.94,-20528.89,1077.57,11316.88,-2370.36,93.38,-4197.4,-2276.98,-6474.38
333,873.02,2333.64,2888.79,-2288.34,-20560.48,1113.99,11332.3,-2361.38,93.63,-4307.08,-2267.75,-6574.83
334,919.33,2485.3,2925.84,-2293.96,-20467.12,1074.68,11275.06,-2412.32,93.22,-4080.88,-2319.1,-6399.98
335,864.08,2386.57,2974.5,-2275.22,-20523.82,1088.09,11310.47,-2400.54,92.0,-4175.34,-2308.54,-6483.88
336,865.02,2390.0,2952.62,-2303.84,-20360.59,1082.57,11215.39,-2442.7,93.77,-4158.83,-2348.93,-6507.76
337,876.21,2379.9,2924.91,-2309.77,-20373.37,1075.91,11221.3,-2414.75,93.77,-4204.9,-2320.98,-6525.88
338,871.76,2384.63,2908.55,-2335.53,-20540.84,1086.92,11284.66,-2331.29,91.87,-4339.85,-2239.42,-6579.27
339,884.95,2418.94,2896.51,-2278.7,-20419.76,1070.31,11228.49,-2409.36,93.66,-4199.26,-2315.7,-6514.96
340,890.85,2430.31,2926.55,-2301.85,-20473.27,1071.34,11263.43,-2392.05,91.97,-4192.64,-2300.08,-6492.72
341,872.79,2428.26,2915.37,-2295.67,-20436.98,1105.54,11282.36,-2388.07,91.93,-4128.32,-2296.14,-6424.46
342,874.29,2366.76,2951.52,-2305.89,-20376.45,1087.77,11234.51,-2431.06,92.01,-4167.48,-2339.05,-6506.53
343,910.68,2421.06,2924.79,-2293.33,-20408.3,1086.48,11208.58,-2382.0,92.32,-4150.03,-2289.67,-6439.7
344,904.28,2386.24,2948.52,-2326.15,-20378.51,1089.28,11259.37,-2455.59,89.23,-4116.97,-2366.36,-6483.33
345,856.73,2423.81,2946.94,-2311.38,-20399.61,1103.97,11283.78,-2432.48,92.27,-4095.76,-2340.21,-6435.97
346,882.72,2405.86,2946.93,-2268.07,-20453.08,1092.49,11273.16,-2411.1,92.31,-4119.99,-2318.79,-6438.78
347,834.46,2336.27,2906.89,-2239.59,-20452.51,1077.64,11253.86,-2404.69,92.71,-4282.97,-2311.98,-6594.95
348,917.34,2382.38,2947.9,-2305.52,-20307.82,1093.84,11212.4,-2471.51,92.66,-4059.48,-2378.85,-6438.33
349,867.75,2412.7,2893.6,-2294.49,-20302.3,1075.7,11202.41,-2466.84,93.17,-4144.62,-2373.67,-6518.29
350,829.97,2411.94,2883.55,-2311.96,-20390.88,1074.57,11291.35,-2463.63,93.17,-4211.47,-2370.46,-6581.92
351,893.11,2431.84,2949.82,-2315.33,-20404.05,1078.62,11267.42,-2418.66,92.95,-4098.56,-2325.72,-6424.28
352,845.38,2487.34,2934.14,-2315.46,-20391.45,1089.1,11191.81,-2372.34,92.44,-4159.13,-2279.91,-6439.04
353,890.22,2469.65,2892.06,-2290.97,-20458.92,1112.79,11227.45,-2350.81,92.43,-4157.73,-2258.38,-6416.11
354,880.63,2350.22,2886.18,-2289.7,-20441.85,1090.55,11262.94,-2382.67,91.42,-4261.03,-2291.25,-6552.27
355,880.17,2407.98,2930.72,-2274.29,-20516.09,1092.0,11232.04,-2344.25,91.71,-4247.48,-2252.55,-6500.03
