POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
314,-0.0,-0.0,0.0,-37.4,-7.4,0.0,0.0,27.11,-2.53,0.0,-44.8,24.57,-20.23
315,-0.0,0.0,0.0,-32.67,-7.16,0.0,-0.0,25.85,-2.46,0.0,-39.83,23.39,-16.44
316,0.0,0.0,0.0,-33.83,-9.16,-0.0,0.0,29.29,-2.42,0.0,-42.99,26.88,-16.11
317,-0.0,0.0,-0.0,-35.92,-12.87,0.0,0.0,35.64,-2.4,0.0,-48.79,33.24,-15.55
318,-0.0,-0.0,-0.0,-32.56,-6.82,0.0,0.0,30.05,-2.64,0.0,-39.38,27.41,-11.97
319,-0.0,0.0,-0.0,-35.44,-5.75,-0.0,-0.0,27.9,-2.66,0.0,-41.19,25.24,-15.96
320,-0.0,0.0,0.0,-0.0,0.11,0.0,0.0,-1.51,-0.0,0.0,0.11,-1.51,-1.41
321,-0.0,-0.0,0.0,-33.84,-9.23,0.0,-0.0,29.78,-2.62,0.0,-43.07,27.17,-15.9
322,0.0,0.0,0.0,-34.68,-3.98,0.0,0.0,34.06,-2.58,0.0,-38.65,31.48,-7.17
323,-0.0,0.0,0.0,-34.2,-13.39,-0.0,-0.0,33.24,-2.53,0.0,-47.59,30.71,-16.88
324,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.34,0.0,0.0,0.07,0.34,0.41
325,0.0,-0.0,-0.0,-35.78,-11.19,0.0,-0.0,28.0,-2.42,0.0,-46.96,25.58,-21.38
326,-0.0,-0.0,0.0,-0.0,0.04,0.0,0.0,0.07,-0.0,0.0,0.04,0.07,0.11
327,0.0,0.0,-0.0,-33.24,-10.81,-0.0,0.0,32.99,-2.46,0.0,-44.04,30.53,-13.52
328,0.0,0.0,-0.0,-34.12,-13.82,0.0,-0.0,35.84,-2.56,0.0,-47.94,33.28,-14.66
329,0.0,0.0,0.0,-37.38,-7.38,-0.0,0.0,27.51,-2.46,0.0,-44.77,25.05,-19.72
330,-0.0,-0.0,-0.0,-37.24,-7.98,-0.0,-0.0,31.21,-2.47,0.0,-45.23,28.74,-16.48
331,-0.0,-0.0,0.0,-34.66,-1.02,0.0,-0.0,24.81,-2.52,0.0,-35.68,22.29,-13.39
332,-0.0,-0.0,-0.0,-35.16,-7.76,0.0,-0.0,30.07,-2.45,0.0,-42.92,27.62,-15.3
333,0.0,0.0,-0.0,-34.01,-12.16,0.0,0.0,33.73,-2.54,0.0,-46.16,31.19,-14.98
334,0.0,-0.0,0.0,-36.9,-3.87,0.0,0.0,23.62,-2.51,0.0,-40.77,21.11,-19.66
335,0.0,0.0,-0.0,-32.52,-6.0,0.0,-0.0,29.02,-2.52,0.0,-38.52,26.51,-12.02
336,0.0,0.0,-0.0,-36.6,-14.88,-0.0,-0.0,38.27,-2.42,0.0,-51.48,35.86,-15.62
337,0.0,-0.0,0.0,-36.92,-15.53,0.0,-0.0,33.3,-2.46,0.0,-52.45,30.84,-21.61
338,0.0,0.0,-0.0,-0.0,0.08,0.0,-0.0,-0.37,0.0,0.0,0.08,-0.37,-0.29
339,0.0,0.0,-0.0,-34.93,-6.04,0.0,-0.0,27.56,-2.54,0.0,-40.97,25.03,-15.94
340,0.0,0.0,-0.0,-36.15,-4.04,0.0,-0.0,28.38,-2.65,0.0,-40.19,25.73,-14.46
341,-0.0,0.0,-0.0,-35.79,-18.71,-0.0,-0.0,41.54,-2.61,0.0,-54.5,38.93,-15.56
342,0.0,-0.0,-0.0,-38.47,-6.18,-0.0,-0.0,31.79,-2.55,0.0,-44.66,29.24,-15.42
343,-0.0,0.0,0.0,-30.62,5.53,-0.0,0.0,17.44,-2.57,0.0,-25.1,14.87,-10.23
344,0.0,0.0,-0.0,-36.71,-4.11,-0.0,-0.0,29.58,-2.55,0.0,-40.81,27.03,-13.78
345,0.0,0.0,-0.0,-36.45,-1.14,0.0,-0.0,27.33,-2.51,0.0,-37.6,24.82,-12.77
346,-0.0,-0.0,-0.0,-38.14,-10.78,-0.0,0.0,35.24,-2.44,0.0,-48.92,32.8,-16.12
347,-0.0,-0.0,0.0,-35.74,-15.02,-0.0,-0.0,36.53,-2.67,0.0,-50.77,33.86,-16.9
